id,label,dateOfBirth,dateOfDeath,countryOfCitizenshipISO,harvardIndex,bionomia,authorAbbrv,aliases,firstName,lastName
Q100748384,Howard Bliss Petty,,1997.0,,,Q100748384,,"Howard Petty, Pete Petty, Howard B. Petty",Howard,Petty
Q100764988,Bernd Schmitt,,,,,,,,Bernd,Schmitt
Q100769883,Bertha Brown Lambert,1880.0,1950.0,US,22754,Q100769883,,"Mrs. Walter Davis Lambert, Bertha Lambert, B. B. Lambert, B. Lambert",Bertha,Lambert
Q100783450,Eva Beckett,1891.0,1988.0,CA,,Q100783450,,"Evangeline Beckett, Evangeline Flora Beckett",Eva,Beckett
Q100869469,Ivar Holmgren,1889.0,1975.0,SE,,,,,Ivar,Holmgren
Q100876,David Friedrich Weinland,1829.0,1915.0,,33587,Q100876,,"Weinland, D. F. Weinland, David F. Weinland",David,Weinland
Q100887787,A.J. Ultee,1878.0,1964.0,NL,19901,,,Arnoldus Johannes Ultee,A.J.,Ultee
Q100892839,Gheorghe Postolache,1943.0,,MD,,,,,Gheorghe,Postolache
Q100896260,William Abbott Nason,1841.0,1918.0,US,,Q100896260,,"WA Nason, W Nason, William Nason",William,Nason
Q100919649,Edna Ege Hanson,1893.0,1924.0,,,Q100919649,,"E. E. Hanson, Edna E. Hanson, Mrs Herbert Christian Hanson, Mrs Herbert C. Hanson",Edna,Hanson
Q100920290,Herbert Christian Hanson,1890.0,1962.0,US,9147,Q100920290,,"Herbert C. Hanson, H. C. Hanson",Herbert,Hanson
Q100935694,Tore Berg,1950.0,,NO,,,,,Tore,Berg
Q100935946,Kristian Andreassen,1898.0,1973.0,NO,,Q100935946,,Kr. Andreassen,Kristian,Andreassen
Q100939400,Bruce J Hayward,1928.0,2011.0,US,,Q100939400,,"BJH, B J Hayward, Bruce Jolliffe Hayward, B Hayward",Bruce,Hayward
Q100959994,Mrs J. E. Light,,,US,,,,Mrs Light,Mrs,Light
Q100961522,Amy Mendenhall Cooke Ambrose,1886.0,1968.0,US,,Q100961522,,"A.M.C., A. M. Cooke, Amy M. Cooke, Mrs George Lewis Ambrose, Amy Mendenhall Ambrose, Amy M. Ambrose",Amy,Ambrose
Q100968458,John Springall,1825.0,1890.0,,,,,Springall,John,Springall
Q1009753,János Gergely,1928.0,1989.0,RO,64470,,Gergely,"Janos Gergely, Gergely",János,Gergely
Q100985011,Antony Kusabs,,,NZ,,0000-0002-4829-5333,,"A. Kusabs, A. W. Kusabs",Antony,Kusabs
Q100989159,Derek Haynes,,,,,,,,Derek,Haynes
Q101001913,Mrs S. A. Arendsen Hein,,,,50213,,,Mrs Arendsen Hein,Mrs,Hein
Q101015829,Harvard University Department of Anthropology,,,,92180,,,,Harvard,Anthropology
Q101016,Konrad Gauckler,1898.0,1983.0,DE,69793,,Gauckler,Gauckler,Konrad,Gauckler
Q101021669,University of Hawaii at Hilo Department of Biology,,,,91504,,,,University,Biology
Q101024,Fridolin Karl Leopold Spenner,1798.0,1841.0,DE,1007,,Spenn.,Spenn.,Fridolin,Spenner
Q101027,Bernhard Christian Otto,1745.0,1835.0,,77207,,B.Otto,B.Otto,Bernhard,Otto
Q101029,Robert Lauterborn,1869.0,1952.0,DE,60566,,Lauterborn,Lauterborn,Robert,Lauterborn
Q101032887,Tine Baretta-Kuipers,,,,,,,T. Baretta-Kuipers,Tine,Baretta-Kuipers
Q101033039,Grace A. Hall,,,,111269,,,"G. A. Hall, Mrs G. A. Hall",Grace,Hall
Q101037343,Mark A. Spencer,,,,,,,,Mark,Spencer
Q101040,Maximilian Klinkowski,1904.0,1971.0,DE,22287,,Klink.,Klink.,Maximilian,Klinkowski
Q101041,Max Leichtlin,1831.0,1910.0,,18729,,Leichtlin,"Leichtlin, Maximilian Leichtlin",Max,Leichtlin
Q101042767,Jhon C Neita-Moreno,,,,,0000-0003-2998-2063,,Jhon Neita-Moreno,Jhon,Neita-Moreno
Q101047844,Gerhart Wagner,1920.0,,,,,,,Gerhart,Wagner
Q101050981,Mihail Hristov,1895.0,1960.0,BG,,,,,Mihail,Hristov
Q101052,Johann Wilhelm Karl Moritz,1797.0,1866.0,DE,79757,Q101052,Moritz,"Moritz, Carl Moritz, C. Moritz, J. W. K. Moritz",Johann,Moritz
Q1010556,Bureau of Land Management,,,,91186,,,"BLM, U.S. Bureau of Land Management, US Bureau of Land Management, U.S. BLM, US BLM",Bureau,Management
Q101063568,Johann Paul Vorbuchner,1782.0,1853.0,,,,,,Johann,Vorbuchner
Q101064733,Elfrune Wendelberger,1926.0,2017.0,AT,,,,Elfrune Zelinka,Elfrune,Wendelberger
Q101067242,John Colhoun,1913.0,2002.0,GB,,,,,John,Colhoun
Q101068073,Irmtraud Thaler,1924.0,,,,,,,Irmtraud,Thaler
Q101069239,Nils Hauge,1912.0,1956.0,NO,,Q101069239,,,Nils,Hauge
Q101069260,Randor Eretius Fridtz,1845.0,1921.0,,,Q101069260,,R.E. Fridtz,Randor,Fridtz
Q101069270,Jon Kaasa,1918.0,2002.0,NO,,Q101069270,,,Jon,Kaasa
Q101069287,Askell Røskeland,1868.0,1948.0,NO,,Q101069287,,Askell Andreas Røskeland,Askell,Røskeland
Q101069300,Isak Yngvar Mejland,1901.0,1979.0,NO,,Q101069300,,Yngvar Mejland,Isak,Mejland
Q101069359,Hartvig Johnsen,1877.0,1954.0,NO,,Q101069359,,,Hartvig,Johnsen
Q101069427,Sverre Løkken,1936.0,1998.0,NO,,Q101069427,,,Sverre,Løkken
Q101069525,Even Trætteberg,1871.0,1949.0,NO,,Q101069525,,,Even,Trætteberg
Q101069576,Hermine Baum,1922.0,1981.0,AT,,,,"Hermine Baum-Leinfellner, Hermine Leinfellner",Hermine,Baum
Q101069579,Walter Leinfellner,1910.0,1981.0,,,,,,Walter,Leinfellner
Q101069718,Harald Kornelius Goksøyr,1883.0,1958.0,NO,,Q101069718,,Harald Goksøyr,Harald,Goksøyr
Q101070057,Peter Albert Benum,1882.0,1959.0,NO,,Q101070057,,Peter Benum,Peter,Benum
Q101072594,Hilja Lippmaa,1902.0,1943.0,,,Q101072594,,"Hilja Helene Lippmaa (Mändmets), Hilja Helene Lippmaa, Hilja Helene Mändmets, Hilja Mändmets",Hilja,Lippmaa
Q101072751,Miss Adams,,,AU,,,,,Miss,Adams
Q101072833,Mary Annie Adams,1874.0,1931.0,AU,,Q101072833,,"Mary Annie Wilkins, Miss Adams, Mrs William Wilkins, Annie Adams, Mrs Henry Wilkins",Mary,Adams
Q101076345,Maverick N. Tamayo,,,,,,M.N.Tamayo,M.N.Tamayo,Maverick,Tamayo
Q101076493,Mary Ann Aldersey,1825.0,1906.0,"GB, AU",,Q101076493,,M. A. Aldersey,Mary,Aldersey
Q101079389,Miss Allen,,,AU,,,,,Miss,Allen
Q101081935,Maria Luhan,1915.0,2000.0,AT,,,,,Maria,Luhan
Q101081972,Grace Adelaide Allen,1871.0,1940.0,AU,,Q101081972,,"G. A. Allen, Grace A. Allen, Mrs Harold Griffyard Roberts, Grace Adelaide Roberts, Grace Allen",Grace,Allen
Q101083944,Hans Fredrik Røer,1945.0,1973.0,NO,,Q101083944,,,Hans,Røer
Q101083954,Caroline Leegaard,1885.0,1967.0,NO,,Q101083954,,,Caroline,Leegaard
Q101083960,Tor Hovland Eknæs,1909.0,1995.0,,,Q101083960,,Tor Eknæs,Tor,Eknæs
Q101084103,Miss Armytage,,,AU,,,,,Miss,Armytage
Q101084147,Ada Elizabeth Armytage,1858.0,1939.0,AU,,Q101084147,,"Ada E. Armitage, A. E. Armytage",Ada,Armytage
Q101084749,Artur Hakansson,1896.0,1961.0,SE,,,,,Artur,Hakansson
Q101085379,Odd Jostein Aalen,1907.0,1944.0,NO,,Q101085379,,,Odd,Aalen
Q101085458,Karen Hygen,1907.0,1988.0,NO,,Q101085458,,"Karen Breien, Karen Tank Anker Hygen",Karen,Hygen
Q101085618,Olaf Andreas Svendsen,1927.0,2009.0,NO,,Q101085618,,Olaf Svendsen,Olaf,Svendsen
Q101085788,Fredrik Lange,1882.0,1963.0,NO,,Q101085788,,,Fredrik,Lange
Q101085920,Finn Christian Sørlye,1887.0,1949.0,NO,,Q101085920,,"Finn Chr. Sørlye, F.C. Sørlye",Finn,Sørlye
Q101085995,Olav Simensen Jørstad,1899.0,1982.0,NO,25888,Q101085995,,Olav Jørstad,Olav,Jørstad
Q101085999,Nils Orderud,1931.0,2006.0,NO,,Q101085999,,Nils Hagbart Orderud,Nils,Orderud
Q101086052,Børre I. Grønningsæter,1916.0,1975.0,NO,,Q101086052,,,Børre,Grønningsæter
Q101086057,Brynjulv Øysteinson Sjøtveit,1889.0,1943.0,NO,,Q101086057,,Brynjulv Sjøtveit,Brynjulv,Sjøtveit
Q101088970,Alain Asselin,1948.0,,CA,,,,,Alain,Asselin
Q101090083,Pierre-Mathieu Charest,1953.0,,CA,,,,Pierre Mathieu Charest,Pierre-Mathieu,Charest
Q101091759,Gilles Dominique Leroux,,,CA,,,,"Gilles D. Leroux, Gilles Leroux",Gilles,Leroux
Q101093829,Yu Pin Ang,,,SG,,,Y.P.Ang,Y.P.Ang,Yu,Ang
Q101094645,Maximilien Dugniolle,1822.0,1903.0,,,,,,Maximilien,Dugniolle
Q101094839,Ghislain Gendron,1941.0,,CA,,,,,Ghislain,Gendron
Q101095946,Mrs Barker,,,AU,,,,,Mrs,Barker
Q101096079,Susannah Barker,1819.0,1899.0,GB,,Q101096079,,Susannah Hodgkinson,Susannah,Barker
Q101096141,Emma Lampa,1873.0,1938.0,AT,,,,Emma Seidel,Emma,Lampa
Q101096160,Mrs C. A. Barker,,,AU,,,,C. A. Barker,Mrs,Barker
Q101096362,Mary Anne Barker,1790.0,1872.0,GB,,Q101096362,,"Mary Anne Elridge, M. A. Barker, Mrs John Barker",Mary,Barker
Q101096835,Elizabeth Barry,1862.0,1932.0,AU,,Q101096835,,Elizabeth Jackson,Elizabeth,Barry
Q101096858,Miss Bassett,,,,,,,Miss E. B. Bassett,Miss,Bassett
Q101097156,William Bruce Shaw,1955.0,,,,,,"W. B. Shaw, William B. Shaw",William,Shaw
Q101098366,Louisa Isabella Chaulk Baudinet,1825.0,1901.0,AU,,Q101098366,,"Lucy Baudinet, Miss Baudinet",Louisa,Baudinet
Q101103467,Gertraud Repp,1915.0,2009.0,AT,,,,,Gertraud,Repp
Q101105858,Lotte Reuter,1911.0,1969.0,AT,,,,,Lotte,Reuter
Q101106955,Juan Pablo Ortiz-Brunel,,,,,,Ortiz-Brunel,"Ortiz-Brunel, Juan Ortiz-Brunel",Juan,Ortiz-Brunel
Q101108501,Pierre-Michel Saint-Clair,1939.0,,,,,,,Pierre-Michel,Saint-Clair
Q101114130,Sophie Wilhelmine Eleanore Bauer,1863.0,1943.0,AU,,Q101114130,,"Ellie Bauer, S. W. E. Bauer, Eleanore Bauer, Mrs Ernest Henry Beales Claydon, Sophie Wilhelmine Eleanore Claydon, Mrs E. Claydon",Sophie,Bauer
Q101115239,Miss Beal,,,AU,,,,,Miss,Beal
Q101115296,Ada Murch Beal,1864.0,1948.0,AU,,Q101115296,,"A. M. Beal, Miss Beal",Ada,Beal
Q101115567,Amy Beal,1827.0,1925.0,AU,,Q101115567,,"Amy Murch, Mrs Charles Beal",Amy,Beal
Q101126949,Brenda Y Bedolla-García,1974.0,,MX,94761,,Bedolla,"Brenda Y. Bedolla-García, Bedolla",Brenda,Bedolla-García
Q101138839,Masaki Yoshida,,,,86141,,,,Masaki,Yoshida
Q101155678,Vera Mikhailovna Andreyeva,,,,,,,"V.M.Andreyeva, Vera Mikhaĭlovna Andreyeva",Vera,Andreyeva
Q1011740,Endre Gombocz,1882.0,1945.0,HU,75507,,Gombócz,"Endre Gombócz, Gombócz",Endre,Gombocz
Q101195435,D. R. Lindsay,1937.0,,,118222,,,,D.,Lindsay
Q101208895,Felipe Espinosa Moreno,,,CO,,,,,Felipe,Moreno
Q101209114,Peter Arthur Hyypio,1921.0,2008.0,US,,Q101209114,,"P. Hyypio, Peter A. Hyypio, P.A. Hyypio",Peter,Hyypio
Q101218500,Andrew D. Kaul,,,,,,A.D.Kaul,"Andrew Kaul, Andrew D Kaul, A.D.Kaul",Andrew,Kaul
Q101220030,J P M Araújo,,,,114626,,,"João P. M. Araújo, João Paulo Machado de Araújo",J,Araújo
Q101247338,Margaret Williamson Rea,1875.0,1954.0,,,,,"Margaret W. Rea, Margaret Rea, M.W. Rea",Margaret,Rea
Q101427151,Vugar Karimov,,,AZ,,,,,Vugar,Karimov
Q101441669,Shogo Nakamura,,,,,,,,Shogo,Nakamura
Q101442645,N.G. Hadden,,,,,,,Hadden,N.G.,Hadden
Q101444305,Daniel Smiley,1907.0,1989.0,,,Q101444305,,,Daniel,Smiley
Q101463,Ferdinand Franz Wallraf,1748.0,1824.0,DE,,,,,Ferdinand,Wallraf
Q101480405,Leonard Machlis,1915.0,1976.0,US,123765,,,,Leonard,Machlis
Q101494403,Maria Pavlovna Nagibina (Tsybulskaya),1878.0,1943.0,,,,,Maria Pavlovna Nagibina,Maria,(Tsybulskaya)
Q101503672,Léon Francois Martin,1866.0,,FR,39111,Q101503672,,"Léon F. Martin, L. F. Martin",Léon,Martin
Q101510322,Gérard Ducerf,1949.0,,FR,,,,,Gérard,Ducerf
Q101515649,Ignacio Piña Luján,,,,,,I.Piña,I.Piña,Ignacio,Luján
Q101515753,N.I. Shirkina,,,,,,,,N.I.,Shirkina
Q101515973,Helen Faulkner,1888.0,1979.0,GB,3634,Q101515973,,"H. G. Faulkner, Helen G. Faulkner, H. Faulkner",Helen,Faulkner
Q101533411,Jean Galtier,,,,,,,,Jean,Galtier
Q101541782,Justin P Moore,1841.0,1923.0,,,,,Justin Payson Moore,Justin,Moore
Q101552462,Robert E. Kuntz,1916.0,2003.0,,,Q101552462,,,Robert,Kuntz
Q101553967,Russell L. Jones,,,,,,,,Russell,Jones
Q101579924,Ladislav Šomšák,1932.0,2005.0,,,,,,Ladislav,Šomšák
Q101582847,Vincenc Dittrich,1790.0,1880.0,,,,,,Vincenc,Dittrich
Q101611,Albert von Sack,1757.0,1829.0,DE,,Q101611,,"Sebastian Albert Freiherr von Sack, Sebastian Albert von Sack, A. von Sack, A. v. Sack, S. A. von Sack, Graf von Sack",Albert,Sack
Q101635882,Rosario Rivera Rubite,,,PH,,,,,Rosario,Rubite
Q1016423,Burkhard Büdel,1953.0,,DE,64674,,Büdel,Büdel,Burkhard,Büdel
Q1016431,Burkhard Frenzel,1928.0,2010.0,DE,25938,,,,Burkhard,Frenzel
Q101651468,Lidia Borkowska,1967.0,2020.0,PL,,,,,Lidia,Borkowska
Q101975,Michael Ettmüller,1644.0,1683.0,DE,,,,,Michael,Ettmüller
Q102003833,Regina Ehrich,,,,48347,,,R. Ehrich,Regina,Ehrich
Q102034,Ronald Ross,1857.0,1932.0,GB,,,Ron.Ross,"Ron.Ross, Sir Ronald Ross",Ronald,Ross
Q102036028,Jacob van Vleck,1751.0,1831.0,,9503,,,,Jacob,Vleck
Q102037582,Xingjiang Li,1932.0,2020.0,,,,,Li Xingjiang,Xingjiang,Li
Q102039469,Daniel Curdie,1810.0,1884.0,,,Q102039469,,,Daniel,Curdie
Q102047636,"D. W. ""Bill"" Rains",1937.0,,,,,,"D. William W. Rains, Donald W. Rains, D. W. Rains, Donald William Rains, Bill Rains",D.,Rains
Q102075110,Udo Bohn,1939.0,2010.0,,47572,,,,Udo,Bohn
Q102076295,Samuel Arasululu,,,,,,,,Samuel,Arasululu
Q102101,Franz Joseph Kallenbach,1893.0,1944.0,,66656,,Kallenb.,Kallenb.,Franz,Kallenbach
Q102107,Johann Bernhard Wilbrand,1779.0,1846.0,,75677,,Wilbr.,Wilbr.,Johann,Wilbrand
Q102179865,Kunka Kozhukharova,1948.0,2015.0,BG,,,,,Kunka,Kozhukharova
Q102206027,Wilbur Hoeg Scofield,1840.0,1894.0,,,Q102206027,,,Wilbur,Scofield
Q102240466,Anna Birchall Hastings,1905.0,1977.0,GB,,Q102240466,,"A.B. Hastings, Anna B. Hastings, Anna Hastings, A. B. Hastings",Anna,Hastings
Q102248274,Jean-Claude Martegoute,1951.0,,FR,,,,,Jean-Claude,Martegoute
Q102283491,Graeme Scott Lorimer,,,,,,,"Graeme S. Lorimer, G. S. Lorimer",Graeme,Lorimer
Q102291940,Boris Aleksandrovich Borisov,,,,,,,,Boris,Borisov
Q102292729,Gaurab Nandi Das,,,,,0000-0002-4722-3100,,,Gaurab,Das
Q102310774,Magali Amir,1960.0,,FR,,,,,Magali,Amir
Q102321493,Ludmila Mickeliunas Pansarin,,,,,,,"Ludmila Mickeliunas, Ludmila M. Pansarin",Ludmila,Pansarin
Q102330119,Bryan S McLean,,,,,0000-0002-1293-5298,,Bryan McLean,Bryan,McLean
Q102343675,Wendy K. Silk,,,US,,,,Wendy Kuhn Silk,Wendy,Silk
Q102347923,Jean Rondeaux de Sétry,1720.0,1805.0,,,,,"Jean Marin Joseph Claude Rondeaux, Jean-Marin Rondeaux de Sétry, Jean Romain Joseph Claude Rondeaux de Setry",Jean,Sétry
Q102354849,Sam Rountree Telford,,,,,,,,Sam,Telford
Q102391887,Bilge Tunçkol,,,,,,Tunçkol,,Bilge,Tunçkol
Q102404722,Carol L. Stuessy,1968.0,,,31368,,,"Carol L. Stuessy Dickson, Carol Stuessy",Carol,Stuessy
Q102405668,Lyudmila Borisovna Zaugolnova,1936.0,2014.0,RU,,,,,Lyudmila,Zaugolnova
Q102411130,Harold Franklin Hursthouse,1875.0,1965.0,NZ,,Q102411130,,"H Hursthouse, Harold Hursthouse",Harold,Hursthouse
Q102429911,Jaroslav Bič,1926.0,2008.0,CZ,,Q102429911,,"J. Bič, Bič",Jaroslav,Bič
Q102461,Carl A. Schenck,1868.0,1955.0,DE,77825,,C.A.Schenck,"Carl Alwin Schenck, C.A.Schenck, Carl Alwyn Schenck",Carl,Schenck
Q102493,Georg Friedrich Kaulfuss,1786.0,1830.0,,1032,,Kaulf.,Kaulf.,Georg,Kaulfuss
Q102527,Robert Falcon Scott,1868.0,1912.0,GB,,Q102527,,"R. F. Scott, Captain Scott, Captain R. F. Scott",Robert,Scott
Q1025362,Caecilie Seler-Sachs,1855.0,1935.0,DE,938,Q1025362,,"Caecilie Seler, Caecilie Sachs, C. Seler, C. Seler-Sachs, Cae. Seler, Caecilie Susanna Seler-Sachs",Caecilie,Seler-Sachs
Q102540,Johannes Leunis,1802.0,1873.0,,1079,,Leunis,"Leunis, Johannes Matthias Joseph Leunis",Johannes,Leunis
Q102552,Karl Albert Weber,1856.0,1931.0,DE,4133,,C.A.Weber,"C.A.Weber, Carl Albert Weber",Karl,Weber
Q102556,Carl Heyer,1797.0,1856.0,DE,82680,,Heyer,,Carl,Heyer
Q102563,Friedrich Jakob Dochnahl,1820.0,1904.0,,69357,,Dochnahl,Dochnahl,Friedrich,Dochnahl
Q102585492,Thor Kommedahl,1920.0,2016.0,US,,,,,Thor,Kommedahl
Q102596,Wilhelm Gueinzius,1813.0,1874.0,,37289,Q102596,,"Gueinzius, W. Gueinzius",Wilhelm,Gueinzius
